CODE_UAI,CODE_NATURE,NOM_ETABLISSEMENT,ANNEE_SCOLAIRE,MULTI_RYTHME,LUNDI_MATIN_DEBUT,LUNDI_MATIN_FIN,LUNDI_APRES_MIDI_DEBUT,LUNDI_APRES_MIDI_FIN,MARDI_MATIN_DEBUT,MARDI_MATIN_FIN,MARDI_APRES_MIDI_DEBUT,MARDI_APRES_MIDI_FIN,MERCREDI_MATIN_DEBUT,MERCREDI_MATIN_FIN,JEUDI_MATIN_DEBUT,JEUDI_MATIN_FIN,JEUDI_APRES_MIDI_DEBUT,JEUDI_APRES_MIDI_FIN,VENDREDI_MATIN_DEBUT,VENDREDI_MATIN_FIN,VENDREDI_APRES_MIDI_DEBUT,VENDREDI_APRES_MIDI_FIN,SAMEDI_MATIN_DEBUT,SAMEDI_MATIN_FIN,code_commune,COMMUNE,ACADEMIE,DEPARTEMENT,libelle_region,code_region,CODE_DEPARTEMENT,latitude,longitude,position
0900046L,MATERNELLE,ECOLE ELEMENTAIRE PUBLIQUE SAINT GERMAIN LE CHATELET,2020-2021,N,08:35,12:05,14:00,16:30,08:35,12:05,14:00,16:30,,,08:35,12:05,14:00,16:30,08:35,12:05,14:00,16:30,,,90091,Saint-Germain-le-Châtelet,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.699354815499916,6.958829523321572,"47.699354815499916, 6.958829523321572"
0900053U,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE MARIE-FRANCE MOINE,2025-2026,N,08:20,11:40,13:40,16:20,08:20,11:40,13:40,16:20,,,08:20,11:40,13:40,16:20,08:20,11:40,13:40,16:20,,,90087,Roppe,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.67043517,6.919516376,"47.670435172828505, 6.919516375513579"
0900060B,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PHAFFANS,2020-2021,N,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,90080,Phaffans,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.659631904998605,6.935800447333602,"47.659631904998605, 6.935800447333602"
0900060B,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PHAFFANS,2025-2026,N,08:25,11:25,13:25,16:25,08:25,11:25,13:25,16:25,,,08:25,11:25,13:25,16:25,08:25,11:25,13:25,16:25,,,90080,Phaffans,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.6596954,6.93562772,"47.65969540337608, 6.935627720425301"
0900061C,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PETITMAGNY,2020-2021,N,08:35,11:50,13:50,16:35,08:35,11:50,13:50,16:35,,,08:35,11:50,13:50,16:35,08:35,11:50,13:50,16:35,,,90079,Petitmagny,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.726212193116226,6.89774988793188,"47.726212193116226, 6.89774988793188"
0900062D,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PETITEFONTAINE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90078,Petitefontaine,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.721249427588035,7.007580580068032,"47.721249427588035, 7.007580580068032"
0900062D,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE PETITEFONTAINE,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90078,Petitefontaine,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.72139303,7.00791326,"47.721393033459485, 7.007913259814624"
0900065G,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE PEROUSE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90076,Pérouse,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63690135780903,6.892209829982404,"47.63690135780903, 6.892209829982404"
0900065G,ELEMENTAIRE,ECOLE PRIMAIRE PUBLIQUE PEROUSE,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90076,Pérouse,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63690136,6.89220983,"47.63690135780903, 6.892209829982404"
0900073R,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE MORVILLARS,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90072,Morvillars,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.54795323113432,6.931599747010869,"47.54795323113432, 6.931599747010869"
0900075T,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE JEAN DE LA FONTAINE,2020-2021,N,08:15,11:15,13:15,16:15,08:15,11:15,13:15,16:15,,,08:15,11:15,13:15,16:15,08:15,11:15,13:15,16:15,,,90071,Montreux-Château,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.60970712652062,7.002109829353438,"47.60970712652062, 7.002109829353438"
0900084C,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE LEPUIX NEUF,2025-2026,N,08:40,12:00,14:04,16:44,08:40,12:00,14:04,16:44,,,08:40,12:00,14:04,16:44,08:40,12:00,14:04,16:44,,,90064,Lepuix-Neuf,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.53884147,7.101280586,"47.53884146634136, 7.101280585585141"
0900087F,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE LARIVIERE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90062,Larivière,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.672363278683925,6.998949625635971,"47.672363278683925, 6.998949625635971"
0900093M,MATERNELLE,ECOLE MATERNELLE PUBLIQUE DU CHANTOISEAU,2025-2026,N,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,90052,Giromagny,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.74479226,6.822070491,"47.74479225583905, 6.822070490736851"
0900110F,MATERNELLE,ECOLE MATERNELLE PUBLIQUE PIERRE DREYFUS-SCHMIDT,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63304006,6.841794645,"47.633040059156386, 6.841794644535294"
0900111G,MATERNELLE,ECOLE MATERNELLE PUBLIQUE SAINT-EXUPERY,2020-2021,N,08:15,11:30,13:30,16:15,08:15,11:30,13:30,16:15,,,08:15,11:30,13:30,16:15,08:15,11:30,13:30,16:15,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63591191941606,6.870280634703702,"47.63591191941606, 6.870280634703702"
0900114K,MATERNELLE,ECOLE MATERNELLE PUBLIQUE HUBERT METZGER,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.62563723,6.847777275,"47.625637231330494, 6.8477772754318496"
0900115L,MATERNELLE,ECOLE MATERNELLE PUBLIQUE EMILE GEHANT,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.658635353795724,6.842189429488601,"47.658635353795724, 6.842189429488601"
0900121T,MATERNELLE,ECOLE MATERNELLE PUBLIQUE VICTOR HUGO,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63440671967742,6.860190607414846,"47.63440671967742, 6.860190607414846"
0900122U,MATERNELLE,ECOLE MATERNELLE PUBLIQUE CHATEAUDUN,2020-2021,N,08:15,11:45,13:45,16:15,08:15,11:45,13:45,16:15,,,08:15,11:45,13:45,16:15,08:15,11:45,13:45,16:15,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.64539498060824,6.8537997524307945,"47.64539498060824, 6.8537997524307945"
0900123V,MATERNELLE,ECOLE MATERNELLE PUBLIQUE RAYMOND AUBERT,2025-2026,N,08:30,11:40,13:40,16:30,08:30,11:40,13:40,16:30,,,08:30,11:40,13:40,16:30,08:30,11:40,13:40,16:30,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.65419066,6.846711891,"47.65419065510221, 6.846711890602391"
0900130C,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE VELLESCOT,2020-2021,N,08:20,11:50,13:50,16:20,08:20,11:50,13:50,16:20,,,08:20,11:50,13:50,16:20,08:20,11:50,13:50,16:20,,,90101,Vellescot,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.57329245610014,7.01260944569764,"47.57329245610014, 7.01260944569764"
0900133F,ELEMENTAIRE,ECOLE PRIMAIRE VICTOR  FRAHIER,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90099,Valdoie,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.6723927,6.841959183,"47.6723926976849, 6.841959182737981"
0900141P,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE CROIX,2020-2021,N,08:18,11:43,13:43,16:18,08:18,11:43,13:43,16:18,,,08:18,11:43,13:43,16:18,08:18,11:43,13:43,16:18,,,90030,Croix,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.44582163540249,6.954400542842538,"47.44582163540249, 6.954400542842538"
0900141P,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE CROIX,2025-2026,N,08:18,11:43,13:43,16:18,08:18,11:43,13:43,16:18,,,08:18,11:43,13:43,16:18,08:18,11:43,13:43,16:18,,,90030,Croix,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.44592767,6.95454257,"47.44592766769933, 6.954542570066697"
0900166S,MATERNELLE,ECOLE ELEMENTAIRE PUBLIQUE ANNE DE ROSSO,2020-2021,N,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,90043,Faverois,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.52073243085224,7.035919605015668,"47.52073243085224, 7.035919605015668"
0900166S,MATERNELLE,ECOLE ELEMENTAIRE PUBLIQUE ANNE DE ROSSO,2025-2026,N,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,90043,Faverois,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.52079561,7.036177185,"47.52079561079621, 7.036177185186141"
0900166S,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE ANNE DE ROSSO,2025-2026,N,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,90043,Faverois,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.52079561,7.036177185,"47.52079561079621, 7.036177185186141"
0900170W,ELEMENTAIRE,ECOLE PRIMAIRE FLORIMONT,2025-2026,N,08:05,11:30,13:30,16:05,08:05,11:30,13:30,16:05,,,08:05,11:30,13:30,16:05,08:05,11:30,13:30,16:05,,,90046,Florimont,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.5095929,7.069146404,"47.509592898878985, 7.069146403973921"
0900174A,MATERNELLE,ECOLE MATERNELLE PUBLIQUE CITE BORNEQUE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90009,Beaucourt,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.49314566527929,6.9131604115717895,"47.49314566527929, 6.9131604115717895"
0900175B,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE CENTRE A,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90009,Beaucourt,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.487129970366176,6.925010069025159,"47.487129970366176, 6.925010069025159"
0900176C,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE FREDERIC BOLLE,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90009,Beaucourt,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.48833981818282,6.92377052349821,"47.48833981818282, 6.92377052349821"
0900179F,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE BESSONCOURT,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90012,Bessoncourt,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.64417004005739,6.927980622299863,"47.64417004005739, 6.927980622299863"
0900183K,ELEMENTAIRE,ECOLE PRIMAIRE BOUROGNE,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90017,Bourogne,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.56496066,6.916529451,"47.5649606642821, 6.9165294512705895"
0900193W,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE GEORGES SCHOULER,2020-2021,N,08:25,11:45,13:35,16:15,08:25,11:45,13:35,16:15,,,08:25,11:45,13:35,16:15,08:25,11:45,13:35,16:15,,,90023,Chaux,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.70624476856448,6.837739435594108,"47.70624476856448, 6.837739435594108"
0900193W,ELEMENTAIRE,ECOLE PRIMAIRE GEORGES SCHOULER,2025-2026,N,08:25,11:45,13:35,16:15,08:25,11:45,13:35,16:15,,,08:25,11:45,13:35,16:15,08:25,11:45,13:35,16:15,,,90023,Chaux,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.70452014,6.836802151,"47.70452013716573, 6.836802150549285"
0900198B,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE COURTELEVANT,2020-2021,N,08:50,12:00,13:45,16:35,08:50,12:00,13:45,16:35,,,08:50,12:00,13:45,16:35,08:50,12:00,13:45,16:35,,,90028,Courtelevant,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.51566109607937,7.079700083147013,"47.51566109607937, 7.079700083147013"
0900204H,ELEMENTAIRE,ECOLE PRIMAIRE JEAN JAURES,2025-2026,N,08:15,11:30,13:30,16:15,08:15,11:30,13:30,16:15,,,08:15,11:30,13:30,16:15,08:15,11:30,13:30,16:15,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.64951708,6.853166842,"47.64951707742423, 6.8531668419909595"
0900209N,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE DE CHATEAUDUN,2020-2021,N,08:15,11:45,13:45,16:15,08:15,11:45,13:45,16:15,,,08:15,11:45,13:45,16:15,08:15,11:45,13:45,16:15,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.645566608456136,6.853760149801469,"47.645566608456136, 6.853760149801469"
0900210P,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE RAYMOND AUBERT,2025-2026,N,08:25,11:45,13:45,16:25,08:25,11:45,13:45,16:25,,,08:25,11:45,13:45,16:25,08:25,11:45,13:45,16:25,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.65511601,6.840939458,"47.65511600764149, 6.840939458310185"
0900281S,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE JACQUES-YVES COUSTEAU,2025-2026,N,08:30,11:45,13:30,16:15,08:30,11:45,13:30,16:15,,,08:30,11:45,13:30,16:15,08:30,11:45,13:30,16:15,,,90039,Essert,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63603584,6.827575076,"47.636035843399, 6.8275750760334954"
0900301N,MATERNELLE,ECOLE MATERNELLE PUBLIQUE LE MOULIN DES PRES,2020-2021,N,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,08:20,11:20,13:20,16:20,08:20,11:20,13:20,16:20,,,90033,Delle,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.503610369038554,7.004240132658839,"47.503610369038554, 7.004240132658839"
0900315D,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE GROSNE,2025-2026,N,08:25,11:55,13:55,16:25,08:25,11:55,13:55,16:25,,,08:25,11:55,13:55,16:25,08:25,11:55,13:55,16:25,,,90055,Grosne,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.57408935,7.000409432,"47.57408935390801, 7.000409432448952"
0900316E,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE EMILE GEHANT,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.65896241,6.842410414,"47.658962411683824, 6.84241041422485"
0900320J,ELEMENTAIRE,ECOLE PRIMAIRE PUBLIQUE HAROUN TAZIEFF,2025-2026,N,08:30,11:45,13:30,16:15,08:30,11:45,13:30,16:15,,,08:30,11:45,13:30,16:15,08:30,11:45,13:30,16:15,,,90039,Essert,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63113872,6.81795161,"47.63113871756776, 6.817951609628277"
0900321K,MATERNELLE,ECOLE MATERNELLE PUBLIQUE SERMAMAGNY,2020-2021,N,08:40,11:40,13:30,16:30,08:40,11:40,13:30,16:30,,,08:40,11:40,13:30,16:30,08:40,11:40,13:30,16:30,,,90093,Sermamagny,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.692669613643965,6.835860526045492,"47.692669613643965, 6.835860526045492"
0900336B,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE LEPUIX,2020-2021,N,08:30,11:30,13:35,16:35,08:30,11:30,13:35,16:35,,,08:30,11:30,13:35,16:35,08:30,11:30,13:35,16:35,,,90065,Lepuix,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.76064867409388,6.817190567569398,"47.76064867409388, 6.817190567569398"
0900350S,MATERNELLE,ECOLE MATERNELLE PUBLIQUE DU CENTRE,2020-2021,N,08:15,11:30,13:30,16:15,08:15,11:30,13:30,16:15,,,08:15,11:30,13:30,16:15,08:15,11:30,13:30,16:15,,,90075,Offemont,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.66207163622197,6.877929487834792,"47.66207163622197, 6.877929487834792"
0900356Y,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE LES DAMES BLANCHES,2020-2021,N,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,08:00,11:30,13:30,16:00,08:00,11:30,13:30,16:00,,,90081,Réchésy,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.507912674394596,7.113909500425889,"47.507912674394596, 7.113909500425889"
0900365H,ELEMENTAIRE,ECOLE PRIMAIRE VICTOR SCHOELCHER,2025-2026,N,08:25,11:40,13:40,16:25,08:25,11:40,13:40,16:25,,,08:25,11:40,13:40,16:25,08:25,11:40,13:40,16:25,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.64024349,6.852010046,"47.640243489284224, 6.852010046279256"
0900371P,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE RENE RUCKLIN,2020-2021,N,08:15,11:45,13:45,16:15,08:15,11:45,13:45,16:15,,,08:15,11:45,13:45,16:15,08:15,11:45,13:45,16:15,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.6336794057787,6.846160350675484,"47.6336794057787, 6.846160350675484"
0900388H,MATERNELLE,ECOLE MATERNELLE PUBLIQUE VILLARS LE SEC,2020-2021,N,08:25,11:50,13:50,16:25,08:25,11:50,13:50,16:25,,,08:25,11:50,13:50,16:25,08:25,11:50,13:50,16:25,,,90105,Villars-le-Sec,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.456313831272816,6.99040018485415,"47.456313831272816, 6.99040018485415"
0900400W,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE LE GRAND BOIS,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,90001,Andelnans,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.60742362196383,6.846189327805957,"47.60742362196383, 6.846189327805957"
0900422V,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE JULES HEIDET,2020-2021,N,08:20,11:50,13:50,16:20,08:20,11:50,13:50,16:20,,,08:20,11:50,13:50,16:20,08:20,11:50,13:50,16:20,,,90010,Belfort,Besançon,Territoire de Belfort,Bourgogne-Franche-Comté,27,090,47.63802147814862,6.86546966694742,"47.63802147814862, 6.86546966694742"
0700104H,ELEMENTAIRE,ECOLE PRIMAIRE PUBLIQUE,2020-2021,N,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,70014,Amblans-et-Velotte,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.67926161369987,6.410809795242646,"47.67926161369987, 6.410809795242646"
0700104H,ELEMENTAIRE,ECOLE PRIMAIRE PUBLIQUE,2025-2026,N,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,70014,Amblans-et-Velotte,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.67948091,6.409500469,"47.6794809095318, 6.409500469368161"
0700104H,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE,2025-2026,N,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,70014,Amblans-et-Velotte,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.67948091,6.409500469,"47.6794809095318, 6.409500469368161"
0700105J,ELEMENTAIRE,ECOLE ELEMENTAIRE PUBLIQUE,2025-2026,N,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,08:35,11:35,13:35,16:35,08:35,11:35,13:35,16:35,,,70015,Amoncourt,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.73396264,6.063375592,"47.73396264347913, 6.063375592235"
0700115V,ELEMENTAIRE,POLE EDUCATIF,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,70024,Apremont,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.393288384670555,5.547009516218923,"47.393288384670555, 5.547009516218923"
0700128J,MATERNELLE,POLE EDUCATIF,2020-2021,N,08:35,11:45,13:35,16:25,08:35,11:45,13:35,16:25,,,08:35,11:45,13:35,16:25,08:35,11:45,13:35,16:25,,,70038,Authoison,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.48890473153763,6.141929558670733,"47.48890473153763, 6.141929558670733"
0700170E,MATERNELLE,ECOLE MATERNELLE PUBLIQUE,2025-2026,N,08:25,11:25,13:25,16:25,08:25,11:25,13:25,16:25,,,08:25,11:25,13:25,16:25,08:25,11:25,13:25,16:25,,,70081,Bouhans-lès-Lure,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.69541029,6.42169846,"47.6954102922224, 6.421698459521189"
0700171F,MATERNELLE,POLE EDUCATIF DES PRES FLEURIS,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,70083,Bouligney,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.89635893,6.236540693,"47.89635893449225, 6.236540693447902"
0700185W,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE,2020-2021,N,08:20,11:45,13:45,16:20,08:20,11:45,13:45,16:20,,,08:20,11:45,13:45,16:20,08:20,11:45,13:45,16:20,,,70096,Brevilliers,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.581298266403486,6.791619899183317,"47.581298266403486, 6.791619899183317"
0700185W,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE,2025-2026,N,08:40,11:40,13:40,16:40,08:40,11:40,13:40,16:40,,,08:40,11:40,13:40,16:40,08:40,11:40,13:40,16:40,,,70096,Brevilliers,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.58110203,6.792250587,"47.58110203134934, 6.7922505874563495"
0700208W,ELEMENTAIRE,ECOLE PRIMAIRE PUBLIQUE,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,70117,Châlonvillars,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.63788107,6.789161784,"47.637881070412796, 6.789161784411549"
0700208W,MATERNELLE,ECOLE PRIMAIRE PUBLIQUE,2025-2026,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,70117,Châlonvillars,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.63788107,6.789161784,"47.637881070412796, 6.789161784411549"
0700214C,ELEMENTAIRE,ECOLE PRIMAIRE PUBLIQUE AIME CACHOT HAMEAU D'EBOULET,2020-2021,N,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,08:30,11:30,13:30,16:30,08:30,11:30,13:30,16:30,,,70120,Champagney,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.69160418887531,6.6458596091288715,"47.69160418887531, 6.6458596091288715"
0700228T,ELEMENTAIRE,ECOLE PRIMAIRE,2025-2026,N,08:15,11:45,13:30,16:00,08:15,11:45,13:30,16:00,,,08:15,11:45,13:30,16:00,08:15,11:45,13:30,16:00,,,70130,Charcenne,Besançon,Haute-Saône,Bourgogne-Franche-Comté,27,070,47.37255461,5.777239327,"47.37255461324181, 5.7772393269212445"
